clause_id,clause_text,true_label,bert_label,svm_label,hybrid_label,used_model,bert_confidence,bert_margin,clause_length,short_clause
374,"['save that nothing in this paragraph 13.2 shall prevent you from holding (with the prior written consent of the company, which shall not be unreasonably delayed or withheld) up to three percent (3%) of the issued equity share capital of any company where those equity shares are listed on a recognised investment exchange (as defined in section 285 of the financial services and markets act 2000) or traded on the aim market operated by the london stock exchange.']",Competitive Restriction Exception,Revenue/Profit Sharing,Competitive Restriction Exception,Competitive Restriction Exception,SVM,0.2609,0.1314,78,False
375,"[""except with respect to contractor's obligations pursuant to paragraph 9 hereof, contractor's maximum liability to company arising for any reason relating to contractor's performance of services under a statement of work shall be limited to the amount of fees paid to contractor for the performance of such services."", ""companys' maximum liability to contractor for any reason arising out of this agreement shall be limited to the amount of fees paid to contractor."", 'neither party shall have any liability to the other party for any lost profits or special, incidental, indirect or consequential damages, even if such party has been advised of the possibility of such damages.']",Cap On Liability,Cap On Liability,Cap On Liability,Cap On Liability,Agreement,0.6866,0.5025,106,False
376,"['operator grants to owner the limited right to use any training materials which are provided under this agreement, and owner agrees that upon termination of this agreement for any reason, owner shall return all training materials, including any copies, to operator.']",License Grant,Post-Termination Services,Post-Termination Services,Post-Termination Services,Agreement,0.3354,0.2502,41,False
377,"[""the contractor may terminate this agreement and his or her engagement for any reason at any time upon providing 30 days advance notice in writing to emerald. termination will be effective, at emeralds' election, on a date which is no earlier than the date such notice is received and no later than the date which is 30 days following that date."", 'the company may terminate this agreement and the engagement of the contractor without cause at any time on 30 days prior written notice.']",Termination For Convenience,Termination For Convenience,Termination For Convenience,Termination For Convenience,DistilBERT,0.8426,0.8148,84,False
378,"['""performance benchmarks"" shall mean the following requirements necessary for distributor to maintain the exclusivity granted in section 2.1 hereof: (a) the execution of contracts to deploy products in 25 new locations approved in advance by hydraspin (""customer locations"") during each 12 month period following the effective date and (b) all customer locations in the aggregate shall generate an average of 7,500 barrels of fluid per day on a trailing 12 month basis. customer locations must be available for installation within 90 days of approval by hydraspin to be applied toward the satisfaction of the performance benchmark.', 'if this agreement is extended beyond the initial term, as hereinafter defined, the number of customer locations to be secured to maintain exclusivity during the pendency of the agreement shall be increased to 50 from 25.']",Minimum Commitment,Minimum Commitment,Exclusivity,Exclusivity,SVM,0.4169,0.2807,132,False
379,"['hci shall be entitled to all net revenue generated from advertising and e- commerce transactions generated by canadian companies that may take place on the co-branded site up to and including [*] us in any given year.', 'thereafter, any net revenues exceeding [*] us shall be shared fifty-fifty between the parties (50% medialinx--50% hci).']",Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,Agreement,0.692,0.6366,54,False
380,"[""netgear's agreement not to appoint additional distributors of netgear products in the territory during the [*] of this agreement is predicated upon distributor performing the mutually agreed upon activities included in the marketing plan attached as exhibit 4."", 'distributor shall be the only distributor appointed by netgear in the territory, subject to distributor conducting mutually agreed to marketing activities as described in the marketing plan to be developed and agreed to by and between the parties and which shall be attached to and made a part of this agreement as exhibit 4.']",Exclusivity,Exclusivity,Exclusivity,Exclusivity,Agreement,0.2527,0.1178,92,False
381,"['ekr may terminate this agreement for convenience at any time upon [**] ([**]) days prior, written notice to ppi.', 'at any time between the agreement date and july 1, 2015, ekr shall have the right, exercisable upon sixty (60) days prior written notice to ppi, to terminate the lease term and sell the transferred equipment back to ppi, subject to payment by ppi to ekr within five (5) days of such notice of $[**] in cash, which if exercised shall result in (i) an offset against the unpaid balance of principal and interest under the promissory note pursuant to section 3.20(f) below; and (ii) the termination of the step-in right described in section 17.5.', 'at any time after july 1, 2015, ppi shall have the right, exercisable upon sixty (60) days prior written notice to ekr, to terminate the lease term and repurchase the transferred equipment from ekr, subject to payment by ppi to ekr within five (5) days of such notice of any principal paid by ekr under the promissory note, which if exercised shall result in the termination of the step-in right set forth in section 17.5.']",Termination For Convenience,Termination For Convenience,Termination For Convenience,Termination For Convenience,DistilBERT,0.8124,0.7733,189,False
382,"['this agreement may not be assigned, disposed of, alienated or otherwise transferred by either party, in whole or in part, without the prior written consent of the other party, which consent shall not be unreasonably withheld, conditioned or delayed, except as provided below.']",Anti-Assignment,Anti-Assignment,Anti-Assignment,Anti-Assignment,DistilBERT,0.9299,0.9195,43,False
383,"['further, during the non-competition period, isa shall not solicit any employee of rubicon or any employee of any rubicon client.', 'further, during the non-competition period, rubicon shall not solicit any\n\n\n\n\n\nemployee of isa or any employee of any isa client.']",No-Solicit Of Employees,No-Solicit Of Employees,No-Solicit Of Employees,No-Solicit Of Employees,Agreement,0.3086,0.2461,39,False
384,"[""at all times during the term without cost to owner, operator shall maintain in force the following insurance, which insurance shall not be subject to cancellation, termination or other material adverse changes unless the insurer delivers to owner<omitted>written notice of the cancellation, termination or change at least thirty (30) days in advance of the effective date of the cancellation, termination or material adverse change:\n\n(a) worker's compensation insurance as required by the laws of the state where operator's facilities are located;\n\n(b) employer's liability insurance with limits not less than one million dollars ($1,000,000); and\n\n(c) commercial general liability insurance, including bodily injury and property damage liability including premises operations, contractual liability endorsements, products liability and completed operations with limits not less than five million dollars ($5,000,000).""]",Insurance,Insurance,Insurance,Insurance,DistilBERT,0.8671,0.8554,124,False
385,"['establishment shall permit apollo and its agents, during business hours and upon notice to establishment, to inspect the facilities where the product is manufactured, handled, stored or tested, as well as all processes relating to the manufacture, handling, storage, or testing of the product, as well as all test records regarding the product.']",Audit Rights,Audit Rights,Audit Rights,Audit Rights,DistilBERT,0.8404,0.825,53,False
386,"['a representative of bkc who shall make not less than two (2) one day visits to poland per annum to provide the franchisee with any requested reasonable operations or marketing guidance and advice.', 'at all times during the term of this agreement, franchisee shall employ at least one (1) individual (the ""restaurant manager"") who is responsible for the direct, personal supervision of the franchise d restaurant .']",Minimum Commitment,Audit Rights,Audit Rights,Audit Rights,Agreement,0.2534,0.1739,67,False
387,"[""neither party shall be liable to the other pursuant to this agreement for any amounts representing loss of profit, loss of business or indirect, consequential, exemplary, or punitive damages of the other party. the foregoing shall not limit the indemnification, defense and hold harmless obligations set forth in this agreement other than those set forth in section 5.4 and shall not apply with respect to damages or losses arising from the wrongful termination of this agreement by lmg, willful misconduct, gross negligence or breach of lmg's obligations under section 3. 8.""]",Uncapped Liability,Cap On Liability,Cap On Liability,Cap On Liability,Agreement,0.686,0.4992,91,False
388,"['to facilitate the promotion and performance of tests, during the term life technologies hereby grants biocept a non-exclusive, royalty-free, non-transferable license to use the life technologies trademarks solely for use in connection with the promotion and performance of the tests in the territory.', 'to facilitate the promotion and performance of tests, during the term biocept hereby grants life technologies a non-exclusive, royalty-free, non-transferable license to use the biocept trademarks solely for<omitted>use in connection with the promotion and performance of the tests in the territory.']",Non-Transferable License,License Grant,License Grant,License Grant,Agreement,0.385,0.1292,84,False
389,"['new process technologies that have been developed by eutectix, alone or with a third party, shall be solely owned by eutectix, and, if permitted, eutectix shall grant liquidmetal a license to such new process technologies as set forth in section 8.3 below.', 'eutectix hereby grants to liquidmetal a fully-paid up, royalty-free, perpetual, world-wide, non-exclusive license to any new process technologies in which eutectix acquires licensing rights pursuant to section 8.2 above.', 'the licenses granted under this agreement shall be subject to the following exclusions, conditions, restrictions, and limitations: 1. the ""field"" shall exclude the following products and fields of use: a. any consumer electronic products (as defined below) or any components or sub-components suitable for use with any consumer electronic products. for this purpose, ""consumer electronic products"" means personal computers (portable and desktop); tablet or slate style computing devices; handheld electronic and/or communication devices (e.g., smartphones, digital music players, multi-function devices, etc.); any device whose function includes the creation, storage or consumption of digital media; any component or sub-component in any consumer electronic product; and any accessory that is the same or similar (in the sole discretion of apple, inc.) to an accessory made or sold by or on behalf of apple (regardless of when apple sold or started to sell such accessory, including after date of the closing of the proposed transaction) that is suitable for use with any consumer electronic product. b. any watches or components for watches. c. finished or semi-finished jewelry, and also any other products that are sold under the name of a luxury brand or incorporated into products that are sold under the name of a luxury brand, including without limitation (a) buckles for belts, briefcases, handbags, and clothing; and (b) cigarette lighters and cigar cutters. for purposes hereof, the term ""jewelry"" means rings, necklaces, pins, cufflinks, and other objects that are ornamental in nature and used for adornment of the human body. ""luxury brands"" shall not include brands owned or used by nokia, motorola, samsung, lg, sony-ericsson, apple, rim, htc or similar companies that supply mobile phones and accessories to the mass-market. otherwise, ""luxury brands"" consist of the following brands and any other similar, renowned luxury brand which is used as the sole or primary brand on a competitive product sold at similar price point:', ""licensed products may not be sold to any customer in, or to any customer for distribution into, the following countries, without liquidmetal's prior written consent, which consent shall not be unreasonably withheld, conditioned or delayed: brunei, cambodia, china (p.r.c and r.o.c.), east timor, indonesia, japan, laos, malaysia, myanmar, north korea, philippines, singapore, south korea, thailand and vietnam."", 'liquidmetal grants to eutectix during the term of this agreement and subject to the field of use restrictions (as defined below), a royalty-bearing, worldwide, non-transferrable, non-exclusive license (or sublicense as the case may be) to the licensed patents (as defined below) and the licensed technical information (as defined below) to make and have made, assemble and have assembled, use, sell, offer to sell, import and offer to import, export and offer to export, distribute and offer to distribute, repair, reconstruct, practice, and maintain licensed products in the field (as defined below).', 'upon and subject to the terms and conditions stated in this agreement, on the effective date, for the consideration described in this agreement and eutectix\'s performance of its other obligations under this agreement, liquidmetal grants to eutectix the right and license to use the following equipment owned by liquidmetal (the ""licensed equipment"") (i) solely for use on liquidmetal\'s behalf, (ii) for eutectix\'s own limited use in the production of liquidmetal products (as defined below) or licensed products (as defined below), (iii) for the continued development of applications utilizing bulk metallic glasses in cooperation between liquidmetal and eutectix, and (iv) independently by eutectix pursuant to the terms of this agreement: (a) two (2) engel e-motion 310/120 injection molding machines, and associated equipment; (b) two (2) eontec 300-c die casting machines, and associated equipment; (c) one (1) flow m21313b waterjet machine; (d) two (2) dmg mori milltap 700 cnc machines, and associated consumables and fixtures; (e) equipment for cut, mount, and polish analysis operations, including: i. one (1) struers accutom-10 cut-off machine ii. one (1) struers secotom-50 precision cutting machine iii. one (1) struers tegramin-30 tabletop grinding machine iv. one (1) keyence vh x-s550e microscope (f) equipment required for vibratory deburring operations, including: i. one (1) rosler r 125 ec-kf rotary vibrator ii. one (1) rosler r 125 ec rotary vibrator 2<omitted>(g) equipment required for passivation operations, including: i. one (1) esma, inc. e782c ultrasonic cleaning system (h) one (1) dry cooler d455 chill water system; (i) one (1) mts 810 mts mechanical testing frame; and (j) molds and fixtures needed for production of sample parts.', 'the parties shall negotiate in good faith a royalty-bearing, perpetual, world-wide, non-exclusive license to any new application technology in which they acquire rights as set forth in section 8.2.3 above. royalties and other terms shall be commercially reasonable and negotiated by the parties in good faith.']",License Grant,License Grant,License Grant,License Grant,Agreement,0.4505,0.3121,840,False
390,"['on any termination of this agreement under section 5.l (a), (b), or (c) all outstanding stock options granted to the consultant shall be exercisable in accordance with the terms of the option agreements covering such grants']",Post-Termination Services,Post-Termination Services,Post-Termination Services,Post-Termination Services,Agreement,0.5502,0.4873,36,False
391,['berkshire may terminate this agreement immediately by giving auriemma notice if<omitted>(iii) auriemma publicly disparages berkshire and/ or its products.'],Non-Disparagement,Non-Disparagement,Non-Disparagement,Non-Disparagement,Agreement,0.0895,0.0048,19,True
392,"[""such certificate will provide that there shall be no cancellation, non-renewal, or modification of such coverage without thirty days' prior written notice to the company."", 'the provider will obtain and maintain appropriate liability insurance in an amount of not less than $1,000,000 combined single limit for accidents or occurrences which cause bodily injury, death or property damage related to the performance of the services. the insurance policy willname the company as an additional insured.']",Insurance,Insurance,Insurance,Insurance,DistilBERT,0.8563,0.843,74,False
393,"['each of astellas and fg shall retain its records for the minimum period of time required by applicable law in all cases, and for not less than [ * ] following the expiration or termination of this agreement.']",Post-Termination Services,Post-Termination Services,Post-Termination Services,Post-Termination Services,Agreement,0.5613,0.5117,38,False
394,"['harpoon shall not, and shall not permit its affiliates to, attack, dispute, or contest the validity of or ownership of such product trademark anywhere in the territory or any registrations issued or issuing with respect thereto or use in their respective businesses, any trademark that is confusingly similar to, misleading or deceptive with respect to or that dilutes any (or any part) of the product trademarks.']",Covenant Not To Sue,Covenant Not To Sue,Covenant Not To Sue,Covenant Not To Sue,Agreement,0.5059,0.4716,66,False
395,"['such covenants shall be in a form satisfactory to us, including, without limitation, specific identification of us as a third party beneficiary of such covenants with the independent right to enforce them.', 'you shall include in the standard unit franchise agreement used by you a provision which states that we are a third-party beneficiary to the unit franchise agreement and are entitled to the rights granted in this section 13.', 'you and we acknowledge and agree that we are a third-party beneficiary to all unit franchise agreements between you and unit franchisees in the master territory, and that we shall have the right to assume any of your responsibilities, duties or functions under such unit franchise agreements in the event that this agreement expires or is terminated for any reason.', 'every covenant required by this section 7.6 shall be in a form satisfactory to us, including, without limitation, specific identification of us as a third party beneficiary of such covenants with an independent right to enforce them.']",Third Party Beneficiary,Third Party Beneficiary,Third Party Beneficiary,Third Party Beneficiary,Agreement,0.0913,0.0087,167,False
396,"['once revmed has completed conducting all clinical trials for a product assigned to it under the development plan for such product, revmed agrees to assign, and hereby does assign, to sanofi all of its rights, title and interests in and to all regulatory approvals (including inds and ndas) for such product.', 'sanofi shall transfer and assign, and shall ensure that its affiliates transfer and assign, to revmed, at no cost to revmed, all product marks exclusively relating to any termination product, provided that such product marks do not contain the business entity names of sanofi or its affiliates or variations thereof, except as may otherwise be required by applicable law during a transition period to avoid any interruptions in supply of termination product to patients. i']",Ip Ownership Assignment,Ip Ownership Assignment,Ip Ownership Assignment,Ip Ownership Assignment,Agreement,0.6096,0.5464,126,False
397,"['notwithstanding anything in this agreement to the contrary, in no event shall any party hereto, their respective affiliates or any of their respective directors, officers, employees, agents or subcontractors, be liable under any theory of tort, contract, strict liability or other legal theory for lost profits, lost revenues, lost business opportunities, exemplary, punitive, special, incidental, indirect or consequential damages, each of which is hereby excluded by agreement of the parties, regardless of whether the damages were foreseeable or whether any party or any entity has been advised of the possibility of the damages.', ""notwithstanding anything in this agreement to the contrary, the cumulative liability of each of servicers and iso for all losses, claims, suits, controversies, breaches or damages arising out of or related to this agreement<omitted>regardless of the form of action or legal theory relating to events in any one processing year shall not exceed [***] [***] times the amount of clearing/sponsorship fees paid to servicers by iso pursuant to this agreement during the immediately preceding [***] [***] full months; provided, however, that this limitation shall not apply to either party's obligation to indemnify the other for credit/fraud losses or losses arising from or related to the indemnifying party's (or its agents, representatives, merchants, other msp's or ic's) failure to comply with rules.""]",Cap On Liability,Cap On Liability,Cap On Liability,Cap On Liability,Agreement,0.6951,0.5145,214,False
398,"[""except as otherwise provided in section 10.5, in the event of any breach of a term or condition of this agreement by either party, the other party's remedy shall be limited to the direct damages caused thereby and in no event shall a party be liable to the other party for any consequential, indirect, pecuniary, punitive, or economic damages, howsoever caused.""]",Cap On Liability,Cap On Liability,Uncapped Liability,Uncapped Liability,SVM,0.6944,0.5162,61,False
399,"['for greater certainty, ""new technology"" shall exclude any (x) modification to philips pre-existing intellectual property rights (which, shall exclude any intellectual property rights forming part of the ""purchased assets"" under the purchase agreement) and (y) developments developed not for the products (collectively, ""philips retained product ip\'), provided that philips and its affiliates hereby grant to customer under any such intellectual property rights, which are applicable or used for the manufacturing of the product, a non- exclusive, non-transferable (except in accordance with clause 18.4 (assignment)), irrevocable, world-wide, fully paid-up license, without the right to grant sub-licenses, to make, have made, sell or commercialize in any other way the product.']",Irrevocable Or Perpetual License,License Grant,Non-Transferable License,Non-Transferable License,SVM,0.2947,0.017,108,False
400,['distributor may not sell or license products directly to end use customers without the express written consent of netgear.'],No-Solicit Of Customers,Non-Compete,Anti-Assignment,Anti-Assignment,SVM,0.276,0.1574,19,True
401,"['in addition to the products, calm shall have the right to identify up to five (5) additional products, with such products and the price thereof to be mutually agreed by the parties, to be displayed, marketed, promoted, offered for sale and sold in the stores in the territory.', 'calm shall have the right, but not the obligation, to hire personnel of its choosing to be present in any store(s) to assist in the display, marketing, promotion, offer for sale and sale of products, provided, however, that no more than one such person shall be present at any one time in any store without the prior written consent of xspa.']",Volume Restriction,Exclusivity,Rofr/Rofo/Rofn,Rofr/Rofo/Rofn,SVM,0.1688,0.058,109,False
402,"['the sole and exclusive remedy for any breach of this ip agreement, including the representations and warranties and covenants herein, shall be as set forth in article 8 of the acquisition agreement.']",Cap On Liability,Cap On Liability,Cap On Liability,Cap On Liability,Agreement,0.5508,0.3789,32,False
403,"['this agreement can be terminated at any time prior to the expiry of the term, as follows:<omitted>(b) by the company electing to give the consultant 3 months prior notice of such termination along with a termination payment equal to the annual consulting fee;\n\n(c) by the consultant electing to give the company notice, in the event that there occurs a change of control (as defined below) within six (6) months of the effective date of such change of control, and if the consultant so elects to terminate this agreement, then the consultant will be immediately entitled to a termination payment equal to cdn$750,000;']",Liquidated Damages,Change Of Control,Change Of Control,Change Of Control,Agreement,0.3454,0.0897,102,False
404,"['the license granted pursuant to this section 10.3 shall be non\xadexclusive in the territory and exclusive in the rest of the world outside the territory.', 'subject to the terms and conditions of this agreement, macrogenics hereby grants to green cross an exclusive, royalty- bearing (i) license, with the right to grant sublicenses (subject to section 10.1(b)), under the macrogenics licensed technology and the macrogenics licensed trademarks; and (ii) to the extent needed under this section 10.1(a), sublicense under the macrogenics licensed technology licensed pursuant to the upstream agreements, in the case of each of (i) and (ii), to conduct the phase i clinical development plan and phase ii clinical development plan, and to distribute, sell, offer for sale and import products in the field in the territory during the term.']",Exclusivity,License Grant,License Grant,License Grant,Agreement,0.4045,0.2742,130,False
405,"['neither party may assign its rights or delegate any of its duties under this agreement without the prior written consent of the other party.', 'any unauthorized assignment of this agreement is void.']",Anti-Assignment,Anti-Assignment,Anti-Assignment,Anti-Assignment,DistilBERT,0.9339,0.9242,32,False
406,"['except in the event of a breach of section 11, neither party shall be liable for special, incidental or consequential damages or lost profits (however arising, including negligence) arising out of or in connection with this agreement, even if the parties are aware of the possibility of such damages.']",Uncapped Liability,Cap On Liability,Cap On Liability,Cap On Liability,Agreement,0.6787,0.4874,49,False
407,"['in addition to the licence fee, telkom shall pay to sap africa an amount equal to that percentage stipulated in 5. 3 (""the revenue share percentage""), of telkom\'s total gross revenue that telkom earns or derives from commercial exploitation of the software licensed in terms hereof.<omitted>(""the revenue share fee"").', 'the revenue share that telkom shall pay to sap africa shall be 10%.', 'should telkom be the effective cause of the sale and licensing to any person or entity, of the following products, then telkom shall be entitled to receive from the licensor of such product, a referral fee equal to 10 % of the agreed license fee of each such product: 5. 7. 1 net market maker; 5. 7. 2 enterprise buyer (professional); and/or 5. 7. 3 private exchange.', 'for the purposes of calculating the revenue share fee payable to sap africa, "" the total gross revenue"" earned or derived by telkom from the use of the software: 5. 2. 1. shall exclude: 5. 2. 1. 1. vat and other government taxes raised on such revenue; 5. 2. 1. 2. any credits, if any, that telkom may grant on a formal basis, to a business third parties; 5. 2. 1. 3. royalties or fees that may be payable by telkom to a bona fide third party who provides, in terms of formal arrangements with telkom, additional functionality, enhancement or value add services to, or in respect of, the software; any revenue earned or derived by telkom pursuant to telkom providing goods and/or services in a manner that does not use the software; and 5. 2. 1. 4. any other type of cost or charge that sap africa and telkom may expressly agree shall be excluded; 5. 2. 2. shall include the following amounts payable to telkom by business third parties for: 5. 2. 2. 1. all charges and fees for accessing the marketplace, any value add services, any information, access to, or use of, the software; 5. 2. 2. 2. regular or once - off subscription fees for access to, or use of, the software, or the marketplace or any information in respect thereof;<omitted>5. 2. 2. 3. value add services that sap africa and it\'s licensors may provide to telkom and/or business third parties using, or in respect of, the software and/or the marketplace; 5. 2. 2. 4. value added services that telkom may provide to business third parties using or in respect of the software and/or the marketplace; and 5. 2. 2. 5. any other fee or charge that telkom and sap africa may in the future agree, should be included in the total gross revenue. where revenue share is levied from a net market maker connected to the telkom marketplace, then, the cumulative revenue share shall not exceed the revenue share percentage.', ""for the financial year commencing 01 march 2002 and thereafter until agreed otherwise, the revenue share percentage shall be 10% provided that should the percentage of telkom's direct and indirect procurement expenditure that is transacted using the software equal those percentage ranges stipulated below, then, the revenue share percentage shall be decreased to the corresponding percentage: percentage of telkom's procurement using software between 60% and 79% 80% or greater 9% 8%"", 'for the period commencing from the effective date and ending february 2002, the revenue share percentage shall be 10%.']",Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,Revenue/Profit Sharing,Agreement,0.6968,0.6421,554,False
408,"[""during the term, paperexchange will not, directly or indirectly, design, host, operate, maintain or otherwise participate in a co-branded career center or a co-branded equipment listing site with a pulp and paper online competitor or license a paperexchange link for use or display on any pulp and paper online competitor's site."", ""during the term, verticalnet will not, directly or indirectly, design, host, operate, maintain or otherwise participate in a co-branded career center or a co-branded equipment listing site with a paperexchange competitor or license a verticalnet link for use or display on any paperexchange competitor's site."", 'during the term, verticalnet will not disclose, transfer or otherwise provide the verticalnet content and/or the verticalnet archived content to any paperexchange competitor.', 'verticalnet and paperexchange shall be responsible for the sale of all advertising on the co-branded sites; provided, however, that neither party shall sell advertising on the co-branded sites to a competitor (as defined in 1.16 and 1.25) and provided that each party shall submit any proposed advertising for the co-branded sites to the other party for its prior written approval, such approval not to be unreasonably withheld, delayed or conditioned.', 'during the term, paperexchange shall not place any advertisements on the paperexchange site from any pulp and paper online competitor.', 'during the term, verticalnet shall not (a) act as an advertising agent or representative for any paperexchange competitor and (b) place any advertisements on pulp and paper online from any paperexchange competitor.', 'from time to time, paperexchange shall provide to verticalnet, at paperexchange\'s sole cost and expense, relevant content provided to it by third parties consisting of (a) job listings for inclusion, at verticalnet\'s reasonable business discretion and at verticalnet\'s then current listing rate, in the co-branded career center or on any other verticalnet site except a site co-branded with a paperexchange competitor (the ""paperexchange career content"") and (b) equipment listings for inclusion, at verticalnet\'s reasonable business discretion and at verticalnet\'s then current listing rate, in the co-branded equipment listings or on any other verticalnet site except a site co-branded with a paperexchange competitor (the ""paperexchange equipment content"", and together with the paperexchange career content, the ""paperexchange content"").', ""during the term and for a period of four years after the termination of this agreement, verticalnet shall not, directly or indirectly, by itself, through its affiliates or through any type of joint venture or similar affiliation with a third party, without prior written approval from paperexchange, buy, sell or trade (a) paper pulp products through exchanges, auctions, or reverse auctions or any other e-commerce medium, (b) paper (other than finished paper-based products, including, but not limited to, books, stamps and labels) and copy paper (i) through exchanges, auctions or reverse auctions or (ii) in quantities greater than one ton through any e-commerce medium, (c) raw materials used to make paper packaging, including, but not limited to, linerboard, medium, other containerboard grades and corrugated sheet through exchanges, auctions, reverse auctions or any other e-commerce medium, or (d) paper rolls and reels weighing more than 50 pounds used by printers through exchanges, auctions, reverse auctions or any other e-commerce medium; provided, however, that this section 5.8.1 [non-competition] shall not apply to advertisements, storefronts or similar features on verticalnet's sites.""]",Non-Compete,Non-Compete,Non-Compete,Non-Compete,Agreement,0.3469,0.2203,535,False
409,"[""furthermore, depomed will undertake to direct its insurance broker to conduct an analysis to determine the appropriate level of product liability insurance with respect to the product to be maintained by depomed, which analysis will be conducted prior to depomed's next insurance renewal, currently scheduled to occur in october 2006."", 'upon request, each party shall provide certificates of insurance to the other evidencing the coverage specified herein.', 'such analysis will include, among other considerations, product risk characteristics, product litigation history,<omitted>comparable company coverage and insurance availability. depomed will share such analysis with king', 'during the term and for a period of two (2) years after any expiration or termination of this agreement, each party shall maintain (i) a commercial general liability insurance policy or policies with minimum limits of $[***] per occurrence and $[***] in the aggregate on an annual basis and (ii) a product liability insurance policy or policies with minimum limits of $[***] per occurrence and $[***] in the aggregate on an annual basis; provided that the minimum product liability policy limits set forth above shall be increased to at least $[***] per occurrence and $[***] in the aggregate on an annual basis no later than december 31, 2006.']",Insurance,Insurance,Insurance,Insurance,DistilBERT,0.8672,0.8578,200,False
410,"[""notwithstanding anything else in this agreement to the contrary, and except for liability arising out of distributor's breach of section 9 (proprietary rights and software licensing) or exhibit c (software license agreement), or amounts due for products and services purchased with respect to the payment of which no bona fide dispute exists, all liability of each party, including each party's affiliates, officers, directors, employees, agents and suppliers collectively, for claims arising under this agreement or otherwise howsoever arising shall be limited separately for products and services purchases to the greater of i) [*****] or (ll)the money paid to cisco for products or for services, separately and as applicable, under this agreement during the [*****] period preceding the event or circumstances first giving rise to such liability."", ""except for liability arising out of or in connection with distributor's breach of section 9 (proprietary rights and software licensing) or exhibit c (software license agreement), in no event shall either party, its respective affiliates, officers, directors, employees, agents or suppliers be liable for any special, incidental,<omitted>indirect or consequential damages, or lost revenue, lost profits, or lost or damaged data, whether arising in contract, tort (including negligence), or otherwise, even if such party has been informed of the possibility thereof.""]",Uncapped Liability,Cap On Liability,Cap On Liability,Cap On Liability,Agreement,0.6839,0.5012,206,False
411,"[""subject to the terms and conditions of this agreement, commerce one hereby grants to corio a fee-bearing, perpetual and irrevocable, nonexclusive, nontransferable (except in accordance with section 14.1 of this agreement), right and license in the territory to (i) reproduce the software in machine executable object code format only for installation on the corio servers; (ii) install multiple copies of the software on corio's servers which will be made remotely accessible to corio's customers for their subsequent use, (iii) permit limited access to and use of the software and marketsite.net service by customers through corio servers; (iv) sublicense an unlimited number of customers to access and use the software and marketsite.net service only through the installation on corio servers; and (v) use commerce one's tools and utilities, subject to any restrictions placed on the commerce one by third party software providers, to modify and manage the software."", ""upon the release of the source code to corio pursuant to section 12.2 of this agreement, corio shall have a royalty-free, nonexclusive, nontransferable, right and license in the territory to use and modify the source code to support and maintain the software until the expiration or termination of corio's customers' end user license agreements."", ""during the term of this agreement, each party authorizes the other party to display and use the other's trademarks, trade names and logos (collectively, the trademarks) in connection with that party's sale, advertisement, service and promotion of the corio services or the software and marketsite.net service."", 'subject to the terms and conditions of this agreement, commerce one hereby grants to corio a nonexclusive, nontransferable (except in accordance with section 14.1 of this agreement), right and license in the territory to sell and distribute such software licenses to customers pursuant to this section 2.4.', ""subject to the terms and conditions of this agreement, commerce one grants to corio a nonexclusive, nontransferable (except in accordance with section 14.1 of this agreement), royalty-free, fully paid up, perpetual right and license in the territory to reproduce, install and use additional copies of the software and software tools and utilities, subject to any restrictions placed on the commerce one by third party software providers, in machine executable object code for (i) corio's internal business operations and (ii) production, testing, development, upgrade, reporting and training."", 'subject to the terms and conditions of this agreement, commerce one hereby grants to corio a nonexclusive, nontransferable (except in accordance with section 14.1 of this agreement) royalty-free, fully paid up right and license in the territory, on corio servers, to make a reasonable number of copies of the demonstration software solely for demonstration purposes to potential customer']",License Grant,License Grant,Non-Transferable License,Non-Transferable License,SVM,0.3081,0.1351,438,False
412,"['thi is granted the following rights to the applications in appendix a and the licensed products derived therefrom:', 'licenses granted herein are solely for products in the form sold by the licensee and are not to be construed either (i) as consent by the marv to any act which may be performed by the licensee, except to the extent impacted by a patent licensed herein to the licensee, or (ii) to include licenses to contributorily infringe or induce infringement under u.s. law or a foreign equivalent thereof.', 'the licenses granted herein are exclusive worldwide licenses to: 1. make, have made, use, lease, sell and import licensed products for the legal purposes of researching, developing, manufacturing, assembling, distributing, and selling the licensed products; 2. make, have made, use and import machines, tools, materials and other instrumentalities, insofar as such machines, tools, materials and other instrumentalities are involved in or incidental to the research, development, manufacture, testing or repair of licensed products which are or have been made, used, leased, owned, sold or imported by the licensee; and 3. convey to any customer of the licensee, with respect to any licensed product which is sold or leased to such customer, rights to use and resell such licensed product as sold or leased by licensee (whether or not as part of a larger combination); provided, however, that no rights may be conveyed to customers with respect to any invention which is directed to (i) a combination of such licensed product (as sold or leased) with any other product, (ii) a method or process which is other than the inherent use of such licensed product itself (as sold or leased), or (iii) a method or process involving the use of a licensed product to manufacture (including associated testing) any other product.', ""the grant of each license hereunder includes the right to grant sublicenses to related companies for so long as it remains a related companies. any such sublicense may be made effective retroactively, but not prior to the effective date hereof, nor prior to the sublicensee's becoming a related company.""]",License Grant,License Grant,Exclusivity,Exclusivity,SVM,0.3435,0.1868,346,False
